Nickname,Realname,Topic,Notes
Mr. Brexit,Donald Trump,Himself,"45th president of the United States, businessman, and former presenter of The Apprentice"
Your Favorite President,Donald Trump,Himself,"45th president of the United States, businessman, and former presenter of The Apprentice"
King of Debt,Donald Trump,Himself,"45th president of the United States, businessman, and former presenter of The Apprentice"
Tariff Man,Donald Trump,Himself,"45th president of the United States, businessman, and former presenter of The Apprentice"
President T.,Donald Trump,Himself,"45th president of the United States, businessman, and former presenter of The Apprentice"
President Trump,Donald Trump,Himself,"45th president of the United States, businessman, and former presenter of The Apprentice"
Dumbo,"Randolph ""Tex"" Alles",Domestic political figures,Director of the United States Secret Service
1 Percent Biden,Joe Biden,Domestic political figures,"47th vice president of the United States, former U.S. senator from Delaware, former chair of the Senate Foreign Relations Committee, 2020 Democratic presidential candidate"
Crazy Joe Biden,Joe Biden,Domestic political figures,"47th vice president of the United States, former U.S. senator from Delaware, former chair of the Senate Foreign Relations Committee, 2020 Democratic presidential candidate"
Quid Pro Joe,Joe Biden,Domestic political figures,"47th vice president of the United States, former U.S. senator from Delaware, former chair of the Senate Foreign Relations Committee, 2020 Democratic presidential candidate"
Sleepy Joe,Joe Biden,Domestic political figures,"47th vice president of the United States, former U.S. senator from Delaware, former chair of the Senate Foreign Relations Committee, 2020 Democratic presidential candidate"
SleepyCreepy Joe,Joe Biden,Domestic political figures,"47th vice president of the United States, former U.S. senator from Delaware, former chair of the Senate Foreign Relations Committee, 2020 Democratic presidential candidate"
Sleepy One,Joe Biden,Domestic political figures,"47th vice president of the United States, former U.S. senator from Delaware, former chair of the Senate Foreign Relations Committee, 2020 Democratic presidential candidate"
Swampman Joe Biden,Joe Biden,Domestic political figures,"47th vice president of the United States, former U.S. senator from Delaware, former chair of the Senate Foreign Relations Committee, 2020 Democratic presidential candidate"
Little Michael Bloomberg,Michael Bloomberg,Domestic political figures,"Businessman, engineer, author, politician, philanthropist and 108th mayor of New York City"
Da Nang Richard,Michael Bloomberg,Domestic political figures,"Businessman, engineer, author, politician, philanthropist and 108th mayor of New York City"
Da Nang Dick,Richard Blumenthal,Domestic political figures,"U.S. senator from Connecticut, 23rd attorney general of Connecticut"
The Dick,Richard Blumenthal,Domestic political figures,"U.S. senator from Connecticut, 23rd attorney general of Connecticut"
Mr. Tough Guy,John R. Bolton,Domestic political figures,former U.S. national security advisor and United States ambassador to the United Nations
"Gov. Jerry ""Moonbeam"" Brown",Jerry Brown,Domestic political figures,"34th and 39th governor of California, 31st attorney general of California, former secretary of state of California, 6th chair of the California Democratic Party"
Bush Original,George H. W. Bush,Domestic political figures,"41st president of the United States, 43rd vice president of the United States, former director of Central Intelligence"
Low Energy Jeb,Jeb Bush,Domestic political figures,"43rd governor of Florida, 2016 Republican presidential candidate"
Boot-Edge-Edge,Pete Buttigieg,Domestic political figures,"Mayor of South Bend, Indiana, 2020 Democratic presidential candidate"
Alfred E. Neuman,Pete Buttigieg,Domestic political figures,"Mayor of South Bend, Indiana, 2020 Democratic presidential candidate"
Sleepin' Bob Casey,Bob Casey,Domestic political figures,U.S. senator from Pennsylvania
Wild Bill,Bill Clinton,Domestic political figures,"42nd president of the United States, 40th and 42nd governor of Arkansas, 50th attorney general of Arkansas, former chair of the National Governors Association"
